path_id,t,sp500,DGS10
0,0,-0.018129990329270124,0.01
0,1,-0.007408251624164899,0.07
0,2,0.009644071197716908,-0.08
0,3,-0.0033006425814989665,-0.01
0,4,0.003040142575653723,0.01
0,5,-0.008424788211069208,-0.07
0,6,0.0085625292537553,-0.01
0,7,0.01026263510093893,-0.03
0,8,-0.015707960227689124,-0.01
0,9,0.007205811773402756,0.06
0,10,0.015253451150683576,-0.04
0,11,-0.0021721028913646028,0.03
0,12,0.0034808300110634165,0.02
0,13,0.008060943923007605,0.03
0,14,0.0018905263782256826,-0.08
0,15,0.009642814757023513,0.09
0,16,0.00032135721611728605,0.07
0,17,-0.010920157025765029,-0.01
0,18,-0.007858629844180563,0.0
0,19,0.009228830144978446,-0.15
0,20,-0.010241994070722125,0.0
0,21,-0.01066212027078709,0.03
0,22,0.006783469150400167,-0.0
0,23,-0.014903617509668957,0.0
0,24,-0.002140311935129982,-0.02
0,25,-0.020475674228391083,0.02
0,26,0.007635927453813595,-0.0
0,27,0.0050282557277490396,-0.04
0,28,0.00042343530958254824,-0.02
0,29,0.009698921701570624,-0.03
0,30,0.007264513421666304,-0.04
0,31,0.01122932234465679,0.06
0,32,0.002264414183582681,-0.04
0,33,-0.006612843546824839,-0.12
0,34,-0.008545224812737116,-0.05
0,35,0.008030969284284437,0.03
0,36,0.01337700769770523,-0.01
0,37,-0.00492624328369021,0.03
0,38,-0.0027869751782665366,0.02
0,39,0.011037156730739002,-0.02
0,40,-0.00297651622867961,-0.03
0,41,0.005204190087270498,0.01
0,42,-0.00097940406403824,-0.01
0,43,0.005236871925727093,-0.05
0,44,0.001495472257956131,0.0
0,45,-0.0012783496072096222,-0.0
0,46,0.004886184860241783,0.05
0,47,-0.002906668775728666,0.03
0,48,-0.0046040820728985195,-0.0
0,49,0.010101170702120348,-0.08
0,50,0.002045230487670719,-0.05
0,51,-0.009067400909487024,0.01
0,52,-0.009348851632554174,0.03
0,53,0.006948577304314803,0.04
0,54,-0.005359025918695592,-0.03
0,55,-0.003348804582216318,0.04
0,56,-0.004621592692794511,0.01
0,57,0.0020034708400116837,-0.04
0,58,-0.002422229472958363,0.05
0,59,-0.0102972865454807,0.05
0,60,-0.014429391171090851,0.04
0,61,0.010575339954756641,-0.02
0,62,-0.005735440426593932,0.05
0,63,-0.0016120674615317924,-0.03
0,64,-0.0004140387070498238,-0.03
0,65,-0.006629797750205669,-0.01
0,66,-0.008119583748202718,-0.03
0,67,-0.0005326270471118312,0.02
0,68,0.021960940640226807,-0.01
0,69,-0.014825901480270702,-0.02
0,70,-0.0003787440129774829,0.03
0,71,-0.006831102023284881,0.04
0,72,0.005513525315203937,0.03
0,73,0.0011810871969741804,-0.03
0,74,-0.018984157572443115,-0.05
0,75,-0.016004437929864845,-0.03
0,76,-0.02545594247233163,-0.04
0,77,0.03333792065517931,0.0
0,78,0.0003762318331182436,0.01
0,79,-0.017856412360481747,-0.06
0,80,-0.0058528269767397076,-0.02
0,81,0.03450764739139558,0.0
0,82,0.005841886653031197,-0.02
0,83,-0.0007816749643563623,-0.05
0,84,0.0016539796767870607,0.04
0,85,-0.023958751041175185,0.04
0,86,-0.0004913595870552895,0.02
0,87,0.011201788324709677,0.03
0,88,0.013837217389589379,0.02
0,89,0.02185464671561652,0.03
0,90,-0.0056544943256083505,-0.03
0,91,0.00486819563920921,-0.0
0,92,-0.0011901794553262862,0.09
0,93,0.003643591531734045,0.04
0,94,-0.001496877948580549,0.09
0,95,0.003933086283281012,0.04
0,96,-0.00010414847471194122,0.0
0,97,-0.015724316701274034,-0.0
0,98,-0.006434110814301894,-0.05
0,99,-0.024323115832407177,-0.0
0,100,-0.010774459640793616,-0.05
0,101,0.02335901005326036,-0.01
0,102,0.004853459803393541,-0.04
0,103,-0.012505480941294111,-0.04
0,104,-0.003468237910261982,0.03
0,105,-0.01847655577714573,-0.03
0,106,0.0037338997964064292,-0.01
0,107,-0.018445724064716,-0.05
0,108,0.014764423454583899,0.01
0,109,0.00534219109355448,0.01
0,110,-0.009196811865258102,-0.05
