candidate_a,candidate_b,label_a,label_b,individual_logit_sum,pair_feature_distance,pair_typicality_p,objective,rank,selected_pair
demo_0,demo_1,demo,demo,3.800016488796596,1.3541425908639402,0.7231461591547516,3.7189805086098504,1,True
demo_1,demo_3,demo,demo,-2.3132345616400087,1.614141916091749,0.912277291239393,-2.336187383567318,2,False
demo_1,demo_2,demo,demo,-2.820618787819525,1.8080097496267977,0.7228448401551307,-2.9017589591817776,3,False
demo_1,demo_4,demo,demo,-3.1594492368605493,1.9648782905535915,0.5687639117038131,-3.3005216990799364,4,False
demo_0,demo_3,demo,demo,-3.2492554924158354,1.9173440295618591,0.6135438030345739,-3.371381397113477,5,False
demo_0,demo_2,demo,demo,-3.7566397185953515,1.5583320604053426,0.972686890679523,-3.7635629802070882,6,False
demo_0,demo_4,demo,demo,-4.0954701676363765,1.6424098310813402,0.8756621728015863,-4.128663895114785,7,False
demo_2,demo_3,demo,demo,-9.869890769031956,1.810860079777048,0.7201815689971909,-9.95195374893223,8,False
demo_3,demo_4,demo,demo,-10.20872121807298,2.3672894476692017,0.2011255722631001,-10.609677675163733,9,False
demo_2,demo_4,demo,demo,-10.716105444252497,1.6433152642112245,0.8745346565449402,-10.749621283048251,10,False
