path_id,t,sp500,DGS10
0,0,-0.003806,0.1
0,1,0.002866,-0.03
0,2,-0.007534,0.07
0,3,-0.006478,0.02
0,4,-0.009089,0.06
0,5,0.003877,-0.09
0,6,-0.007636,-0.03
0,7,-0.01519,0.12
0,8,0.010185,-0.04
0,9,-0.002772,0.08
0,10,0.003497,-0.02
0,11,-0.007506,0.1
0,12,0.004344,0.0
0,13,0.000381,-0.03
0,14,-0.000538,0.01
0,15,0.005043,-0.02
0,16,0.002609,0.12
0,17,-0.003314,0.05
0,18,-0.000246,-0.04
0,19,0.001741,-0.02
0,20,0.010429,-0.16
0,21,0.001654,0.0
0,22,0.002334,-0.05
0,23,-0.002988,-0.05
0,24,-0.00498,0.1
0,25,0.002236,0.02
0,26,0.001105,0.02
0,27,0.002516,-0.02
0,28,-0.001959,0.01
0,29,-0.001743,0.06
0,30,0.00369,-0.05
0,31,0.00885,-0.17
0,32,0.006001,0.01
0,33,-0.000976,-0.02
0,34,0.001932,-0.02
0,35,-0.00661,0.03
0,36,-0.002858,0.16
0,37,0.00175,0.0
0,38,6.6e-05,0.05
0,39,0.005197,-0.03
0,40,-0.003085,0.06
0,41,0.006668,-0.09
0,42,-0.001537,0.03
0,43,0.008195,-0.11
0,44,0.000344,-0.04
0,45,-0.0043,0.13
0,46,0.001101,-0.01
0,47,-0.002933,0.04
0,48,0.004737,-0.03
0,49,0.009731,-0.06
0,50,-0.002025,0.07
0,51,0.01222,-0.05
0,52,0.001667,0.0
0,53,0.003118,-0.04
0,54,-0.001218,-0.01
0,55,-0.004879,0.0
0,56,-0.004607,0.02
0,57,0.001847,0.06
0,58,-0.001844,0.02
0,59,0.004565,0.01
0,60,-0.010483,0.14
0,61,-0.004208,0.02
0,62,0.002788,-0.02
0,63,0.002759,-0.03
0,64,0.01282,-0.06
0,65,-0.007624,0.17
0,66,-0.000722,-0.03
0,67,-0.015907,0.04
0,68,-0.0041,0.03
0,69,-0.000412,0.0
0,70,-0.003469,0.01
0,71,0.002502,0.0
0,72,0.002669,0.04
0,73,0.006038,-0.04
0,74,-0.005593,0.07
0,75,0.001017,-0.02
0,76,-0.002096,0.04
0,77,-0.015485,0.04
0,78,-0.002354,0.07
0,79,-0.002558,0.01
0,80,0.006057,-0.08
0,81,-0.000687,0.04
0,82,0.004984,-0.05
0,83,0.0028,-0.03
0,84,-0.000298,0.01
0,85,-0.002772,0.02
0,86,0.005602,0.04
0,87,-0.007294,0.12
0,88,-0.004198,0.01
0,89,-0.008733,0.05
0,90,0.001519,0.02
0,91,0.002362,0.0
0,92,0.006982,0.0
0,93,0.017001,-0.06
0,94,-0.002997,-0.01
0,95,-0.00832,0.1
0,96,-0.004078,0.05
0,97,0.003001,0.0
0,98,-0.012032,0.08
0,99,0.001709,0.01
0,100,0.005572,-0.04
0,101,-0.000537,-0.07
0,102,-0.002213,0.04
0,103,-0.002167,-0.02
0,104,0.001269,0.05
0,105,-0.004403,0.06
0,106,-0.00453,-0.02
0,107,-0.006869,0.02
0,108,-0.017914,-0.03
0,109,-0.000355,-0.19
0,110,0.005245,-0.01
0,111,0.004135,0.08
0,112,0.002224,0.07
0,113,-0.003252,-0.04
0,114,-0.010514,0.01
0,115,0.009757,-0.11
0,116,4.4e-05,0.02
0,117,-0.000463,-0.1
0,118,-0.004149,0.08
0,119,-0.012809,-0.02
0,120,0.00339,0.0
0,121,0.005616,0.06
0,122,0.001513,-0.02
0,123,0.010708,-0.03
0,124,0.000813,-0.01
0,125,0.007599,0.02
0,126,-0.00194,0.0
0,127,-0.001769,0.0
0,128,0.005491,-0.01
0,129,0.000152,0.04
0,130,0.000326,0.01
0,131,0.005741,-0.09
0,132,-0.003481,0.04
0,133,0.000673,0.02
0,134,-0.00412,0.02
0,135,-0.000348,0.04
0,136,0.003485,-0.06
0,137,-0.000803,0.06
0,138,0.000739,-0.01
0,139,0.000326,0.02
0,140,0.001844,-0.05
0,141,-4.3e-05,-0.05
0,142,-4.3e-05,0.01
0,143,0.00938,-0.11
0,144,-0.000723,0.01
0,145,-0.005876,0.03
0,146,-0.004647,0.08
0,147,0.002238,0.01
0,148,8.6e-05,0.03
0,149,0.003392,-0.06
0,150,0.001883,-0.04
0,151,0.00442,-0.1
0,152,-0.003997,-0.01
0,153,0.004077,-0.05
0,154,-4.3e-05,0.06
0,155,0.005081,0.02
0,156,0.012395,-0.19
0,157,0.005202,0.04
0,158,-0.000686,-0.01
0,159,0.00079,0.01
0,160,-0.002078,0.05
0,161,0.002645,0.04
0,162,0.000395,-0.01
0,163,0.001869,-0.1
0,164,0.004124,-0.06
